"sampleID" "shannon" "chao1" "consequtive" "bray" "jacc"
"1" "sub.29.2.one.month" 2.17540837329547 32 "sub.29.3.twomonth" 0.924336239572039 0.658536585365854
"2" "sub.31.0.initial" 1.42421122909075 17 "sub.31.1.two.week" 0.662021803198947 0.571428571428572
"3" "sub.20.0.initial" 0.869610093160046 24 "sub.20.1.two.week" 0.631621046881402 0.416666666666667
"4" "sub.20.1.two.week" 2.28211045670444 25 "sub.20.3.twomonth" 0.633600155556276 0.516129032258065
"5" "sub.46.2.one.month" 2.06297481421957 21 "sub.46.3.twomonth" 0.688396045288977 0.595238095238095
"6" "sub.31.1.two.week" 1.57580377750281 17 "sub.31.2.one.month" 0.717136220654661 0.541666666666667
"7" "sub.24.2.one.month" 2.05867794792839 21 "sub.24.3.twomonth" 0.613692053392696 0.458333333333333
"8" "sub.2.1.two.week" 1.2900295503217 27 "sub.2.2.one.month" 0.670836709435575 0.444444444444444
"9" "sub.2.2.one.month" 2.6908225571445 25 "sub.2.4.fourmonth" 0.567996506526382 0.514285714285714
"10" "sub.58.2.one.month" 1.61266773647862 19 "sub.58.3.twomonth" 0.649299233249252 0.375
"11" "sub.78.1.two.week" 1.64815833752736 20 "sub.78.2.one.month" 0.913623115916239 0.606060606060606
"12" "sub.57.2.one.month" 1.47146570068452 17 "sub.57.4.fourmonth" 0.87548098643112 0.592592592592593
"13" "sub.55.2.one.month" 3.09690147639116 31 "sub.55.3.twomonth" 0.557833128086971 0.53125
"14" "sub.67.1.two.week" 1.79550387302893 30 "sub.67.2.one.month" 0.452794010226443 0.518518518518518
"16" "sub.24.3.twomonth" 2.10214086804918 18 "sub.24.5.sixmonth" 0.983196521927149 0.518518518518518
"17" "sub.78.0.initial" 2.08534033320197 16 "sub.78.1.two.week" 0.912642651968015 0.473684210526316
"18" "sub.31.2.one.month" 2.89163262911152 24 "sub.31.3.twomonth" 0.508201431958047 0.392857142857143
"19" "sub.46.3.twomonth" 2.2099648939839 43 "sub.46.4.fourmonth" 0.452024557716582 0.465116279069767
"21" "sub.57.1.two.week" 1.51179346768305 29 "sub.57.2.one.month" 0.454281266216918 0.461538461538462
"22" "sub.58.1.two.week" 1.89671972083439 23 "sub.58.2.one.month" 0.801901104835046 0.434782608695652
"23" "sub.67.0.initial" 1.20655205821775 28 "sub.67.1.two.week" 0.934738763334075 0.483870967741936
"24" "sub.53.3.twomonth" 3.41516581337348 26 "sub.53.4.fourmonth" 0.612903225806452 0.413793103448276
"25" "sub.58.0.initial" 1.317858033087 17 "sub.58.1.two.week" 0.963447264322859 0.6
"27" "sub.110.0.initial" 1.75660091475444 15 "sub.110.1.two.week" 0.761761411369364 0.307692307692308
"28" "sub.99.1.two.week" 1.81077754779706 13 "sub.99.2.one.month" 0.315214519347285 0.466666666666667
"29" "sub.84.0.initial" 1.37113469634425 38 "sub.84.1.two.week" 0.217755472286746 0.571428571428572
"30" "sub.84.2.one.month" 1.01577344924055 16 "sub.84.3.twomonth" 0.338478689649258 0.4
"31" "sub.97.1.two.week" 0.377372761293002 20 "sub.97.2.one.month" 0.372917062997175 0.541666666666667
"32" "sub.111.0.initial" 1.03166267037341 15 "sub.111.1.two.week" 0.393136002571673 0.4
"33" "sub.20.3.twomonth" 3.08582287391961 29 "sub.20.4.fourmonth" 0.803929863623713 0.566666666666667
"34" "sub.78.2.one.month" 1.52736012249681 38 "sub.78.3.twomonth" 0.273406259666489 0.416666666666667
"35" "sub.31.3.twomonth" 2.60601946703467 26 "sub.31.4.fourmonth" 0.271911365768324 0.3125
"36" "sub.67.2.one.month" 1.79288940322389 22 "sub.67.3.twomonth" 0.336136839762725 0.260869565217391
"37" "sub.99.0.initial" 1.97871663581369 18 "sub.99.1.two.week" 0.525724189155732 0.470588235294118
"38" "sub.29.3.twomonth" 3.63918395255053 30 "sub.29.4.fourmonth" 0.895648033520617 0.580645161290323
"39" "sub.111.1.two.week" 0.542841980325378 19 "sub.111.2.one.month" 0.990115055474485 0.636363636363636
"40" "sub.97.0.initial" 2.43252145416424 25 "sub.97.1.two.week" 0.616725997007687 0.586206896551724
"41" "sub.84.1.two.week" 1.14326350996679 17 "sub.84.2.one.month" 0.754077265491703 0.476190476190476
"42" "sub.96.2.one.month" 3.03946381694238 23 "sub.96.3.twomonth" 0.527863949152714 0.413793103448276
"43" "sub.99.2.one.month" 1.51732803895126 16 "sub.99.3.twomonth" 0.282747934814922 0.444444444444444
"44" "sub.67.3.twomonth" 2.19264599440901 21 "sub.67.4.fourmonth" 0.613928950827347 0.444444444444444
"45" "sub.139.0.initial" 1.33467001337964 14 "sub.139.1.two.week" 0.690445480702451 0.586206896551724
"46" "sub.46.4.fourmonth" 2.83658316914387 33 "sub.46.5.sixmonth" 0.947340118694942 0.642857142857143
"47" "sub.53.4.fourmonth" 3.06802120260455 25 "sub.53.6.ninemonth" 0.496879492740977 0.516129032258065
"48" "sub.110.1.two.week" 1.40574927051406 14 "sub.110.2.one.month" 0.433451751487112 0.333333333333333
"49" "sub.55.3.twomonth" 2.04738223183474 20 "sub.55.5.sixmonth" 0.85340361368147 0.56
"50" "sub.58.3.twomonth" 3.41404807626719 24 NA NA NA
"51" "sub.110.3.twomonth" 1.53863419096525 15 "sub.110.4.fourmonth" 0.578392473421165 0.473684210526316
"52" "sub.31.4.fourmonth" 2.855353015593 30 "sub.31.5.sixmonth" 0.857802536099098 0.393939393939394
"53" "sub.57.4.fourmonth" 3.14369956717523 28 "sub.57.11.sick" 0.597691547364729 0.454545454545455
"54" "sub.149.2.one.month" 3.53012911747048 27 "sub.149.3.twomonth" 0.865987076411252 0.515151515151515
"55" "sub.162.1.two.week" 1.87016899150713 25 "sub.162.3.twomonth" 0.56600123343105 0.433333333333333
"56" "sub.162.0.initial" 1.02170099498668 15 "sub.162.1.two.week" 0.502127501440012 0.535714285714286
"57" "sub.134.2.one.month" 2.21279963187313 34 "sub.134.3.twomonth" 0.406713461928186 0.560975609756098
"58" "sub.165.1.two.week" 3.02507778161587 24 "sub.165.3.twomonth" 0.784355559548139 0.724137931034483
"59" "sub.111.3.twomonth" 2.0233807723512 27 "sub.111.4.fourmonth" 0.634435619178286 0.555555555555556
"61" "sub.139.2.one.month" 1.69612954527662 14 "sub.139.3.twomonth" 0.86220826644557 0.52
"62" "sub.84.3.twomonth" 1.47387879041014 22 "sub.84.4.fourmonth" 0.434716248092133 0.7
"63" "sub.134.1.two.week" 3.56179225216834 38 "sub.134.2.one.month" 0.789870351262842 0.558139534883721
"64" "sub.99.3.twomonth" 1.9723282518175 21 "sub.99.4.fourmonth" 0.366533801524786 0.565217391304348
"65" "sub.139.1.two.week" 2.1777124912506 32 "sub.139.2.one.month" 0.90280752584008 0.535714285714286
"67" "sub.165.0.initial" 1.63411722109316 18 "sub.165.1.two.week" 0.818628815288988 0.45
"68" "sub.20.4.fourmonth" 1.45671618407665 23 "sub.20.5.sixmonth" 0.674780200925345 0.62962962962963
"69" "sub.96.3.twomonth" 2.60577811128986 28 "sub.96.4.fourmonth" 0.479793954042495 0.333333333333333
"70" "sub.97.3.twomonth" 1.57690110947889 25 "sub.97.4.fourmonth" 0.675926194973122 0.521739130434783
"71" "sub.29.4.fourmonth" 3.03848454066627 27 "sub.29.5.sixmonth" 0.883586083853702 0.484848484848485
"72" "sub.78.3.twomonth" 1.52215379715312 33 "sub.78.4.fourmonth" 0.729854192959373 0.354838709677419
"73" "sub.149.3.twomonth" 1.05420729420812 29 "sub.149.5.sixmonth" 0.936590626296143 0.578947368421053
