"","x"
"1","sub.31.0.initial"
"2","sub.20.0.initial"
"3","sub.58.0.initial"
"4","sub.78.0.initial"
"5","sub.67.0.initial"
"6","sub.110.0.initial"
"7","sub.99.0.initial"
"8","sub.84.0.initial"
"9","sub.97.0.initial"
"10","sub.111.0.initial"
"11","sub.139.0.initial"
"12","sub.162.0.initial"
"13","sub.165.0.initial"
"14","sub.197.0.initial"
"15","sub.164.0.initial"
"16","sub.439.0.initial"
"17","sub.782.11.sick"
"18","sub.758.0.initial"
"19","sub.666.0.initial"
"20","sub.665.0.initial"
"21","sub.652.0.initial"
"22","sub.738.0.initial"
"23","sub.790.0.initial"
"24","sub.777.0.initial"
"25","sub.731.0.initial"
"26","sub.760.0.initial"
"27","sub.585.0.initial"
"28","sub.533.0.initial"
"29","sub.692.0.initial"
"30","sub.422.0.initial"
"31","sub.436.0.initial"
"32","sub.438.0.initial"
"33","sub.431.0.initial"
"34","sub.630.0.initial"
"35","sub.394.0.initial"
"36","sub.535.0.initial"
"37","sub.709.0.initial"
"38","sub.708.0.initial"
"39","sub.527.0.initial"
"40","sub.655.0.initial"
"41","sub.711.0.initial"
"42","sub.639.0.initial"
"43","sub.729.0.initial"
"44","sub.638.0.initial"
"45","sub.695.0.initial"
"46","sub.686.0.initial"
"47","sub.222.0.initial"
"48","sub.278.0.initial"
"49","sub.267.0.initial"
"50","sub.358.0.initial"
"51","sub.14.0.initial"
"52","sub.8.0.initial"
"53","sub.13.0.initial"
"54","sub.9.0.initial"
"55","sub.60.0.initial"
"56","sub.89.0.initial"
"57","sub.144.0.initial"
"58","sub.249.0.initial"
"59","sub.198.0.initial"
"60","sub.5.0.initial"
"61","sub.376.0.initial"
"62","sub.307.0.initial"
"63","sub.192.0.initial"
"64","sub.205.0.initial"
"65","sub.226.0.initial"
"66","sub.225.0.initial"
"67","sub.247.0.initial"
"68","sub.233.0.initial"
"69","sub.260.0.initial"
"70","sub.275.0.initial"
"71","sub.280.0.initial"
"72","sub.299.0.initial"
"73","sub.282.0.initial"
"74","sub.312.0.initial"
"75","sub.321.0.initial"
"76","sub.360.0.initial"
"77","sub.384.0.initial"
"78","sub.424.0.initial"
"79","sub.434.0.initial"
"80","sub.427.0.initial"
"81","sub.416.0.initial"
"82","sub.454.0.initial"
"83","sub.471.0.initial"
"84","sub.563.0.initial"
"85","sub.586.0.initial"
"86","sub.31.1.two.week"
"87","sub.20.1.two.week"
"88","sub.2.1.two.week"
"89","sub.58.1.two.week"
"90","sub.78.1.two.week"
"91","sub.57.1.two.week"
"92","sub.67.1.two.week"
"93","sub.110.1.two.week"
"94","sub.99.1.two.week"
"95","sub.84.1.two.week"
"96","sub.97.1.two.week"
"97","sub.111.1.two.week"
"98","sub.139.1.two.week"
"99","sub.162.1.two.week"
"100","sub.134.1.two.week"
"101","sub.165.1.two.week"
"102","sub.197.1.two.week"
"103","sub.188.1.two.week"
"104","sub.184.1.two.week"
"105","sub.439.1.two.week"
"106","sub.782.1.two.week"
"107","sub.666.1.two.week"
"108","sub.781.11.sick"
"109","sub.554.1.two.week"
"110","sub.665.11.sick"
"111","sub.738.1.two.week"
