"Feature"	"Measured Variable"	"Test Variable"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"	"Subset"	"Model Name"	"Reference Variable"
"g__Coprococcus"	"visit_age_mo"	"visit_age_mo"	0.0295274094851846	0.00187998346198107	954	395	2.39037215710339e-49	7.60138345958879e-47	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Faecalibacterium"	"visit_age_mo"	"visit_age_mo"	0.0421486500474143	0.00279618060873643	954	402	6.37409831029796e-46	1.01348163133738e-43	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"o__Clostridiales_unknwn"	"visit_age_mo"	"visit_age_mo"	0.0529787168045098	0.00370925878221096	954	764	7.41246118819933e-42	7.85720885949129e-40	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Oscillospira"	"visit_age_mo"	"visit_age_mo"	0.0200795560728169	0.00142339482336958	954	441	6.31489702950321e-41	5.02034313845505e-39	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Staphylococcus"	"visit_age_mo"	"visit_age_mo"	-0.0360529500149518	0.00258555401923739	954	623	3.69750743161604e-40	2.3516147265078e-38	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Lachnospira"	"visit_age_mo"	"visit_age_mo"	0.0294308965844595	0.00215296969334214	954	277	8.0451019050938e-39	4.26390400969971e-37	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__.Ruminococcus."	"visit_age_mo"	"visit_age_mo"	0.0525239017245875	0.00400016052827145	954	771	5.15797633821397e-36	2.34319496507435e-34	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Blautia"	"visit_age_mo"	"visit_age_mo"	0.0398471704854922	0.00313132023259158	954	667	3.93867256561861e-34	1.5656223448334e-32	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Sutterella"	"visit_age_mo"	"visit_age_mo"	0.0134575962014198	0.00114015108543784	954	145	6.12836345946653e-30	2.16535508901151e-28	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Ruminococcaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.015426509836763	0.00144352956984077	954	292	3.73924245337289e-25	1.18907910017258e-23	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__Ruminococcus"	"visit_age_mo"	"visit_age_mo"	0.0120673792427956	0.00114079071260856	954	373	1.00305363293903e-24	2.89973686613283e-23	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"g__.Eubacterium."	"visit_age_mo"	"visit_age_mo"	0.0158414278822492	0.00156459625372196	954	502	7.06642130365571e-23	1.87260164546876e-21	"All Samples"	"case lastDiet pro"	"visit_age_mo"
"f__Lachnospiraceae_unknwn"	"visit_age_mo"	"visit_age_mo"	0.0119263545061437	0.0011792346518623	954	178	7.68768780371321e-23	1.88052670890831e-21	"All Samples"	"case lastDiet pro"	"visit_age_mo"
